Date;Opérateur;06:00:00;07:00:00;08:00:00;09:00:00;10:00:00;11:00:00;12:00:00;13:00:00;14:00:00;15:00:00;16:00:00;17:00:00;18:00:00;19:00:00;20:00:00;21:00:00;22:00:00;23:00:00;00:00:00;01:00:00;02:00:00;03:00:00;04:00:00;05:00:00;Secteur d'activité;Statut;Consommation Journalière (MWh PCS 0°C)
2022-07-22;NaTran;19326.0;19698.0;20936.0;20937.0;20623.0;20557.0;20182.0;19480.0;19297.0;19255.0;19183.0;19027.0;19283.0;19298.0;19053.0;19253.0;19490.0;19282.0;17982.0;18460.0;18054.0;17727.0;17910.0;17770.0;Industriel;Définitif;462062.0
2022-07-21;NaTran;19436.0;19849.0;20110.0;19829.0;19973.0;20517.0;20018.0;19569.0;19405.0;19667.0;20307.0;20446.0;20820.0;21347.0;21394.0;21548.0;21148.0;21306.0;20021.0;20029.0;18875.0;18665.0;18644.0;18762.0;Industriel;Définitif;481689.0
2022-07-15;NaTran;17529.0;17676.0;17775.0;17657.0;17765.0;17710.0;17549.0;18091.0;18280.0;18532.0;18735.0;18985.0;18884.0;19153.0;18669.0;18482.0;18334.0;18154.0;16669.0;16550.0;16624.0;16529.0;16181.0;16029.0;Industriel;Définitif;426543.0
2022-07-13;NaTran;19040.0;19142.0;18847.0;18558.0;18547.0;19074.0;19453.0;19000.0;19205.0;18929.0;18985.0;18701.0;19325.0;19352.0;19324.0;19204.0;19597.0;19256.0;18686.0;18627.0;18616.0;18481.0;18463.0;18223.0;Industriel;Définitif;454634.0
2022-07-09;NaTran;15042.0;14355.0;14523.0;14106.0;13876.0;13108.0;12897.0;12605.0;12296.0;12345.0;13171.0;14753.0;15694.0;16337.0;16254.0;16066.0;16294.0;16144.0;15626.0;14628.0;13594.0;11219.0;11016.0;11143.0;Industriel;Définitif;337089.0
2022-07-08;NaTran;19483.0;19827.0;20527.0;20225.0;19672.0;19404.0;19001.0;19032.0;18784.0;18538.0;18592.0;18226.0;18465.0;18418.0;18665.0;18743.0;18426.0;18269.0;18121.0;17306.0;16214.0;15415.0;15149.0;15450.0;Industriel;Définitif;439952.0
2022-07-03;NaTran;10243.0;10190.0;10302.0;10116.0;9941.0;9867.0;9831.0;9832.0;9827.0;9921.0;9940.0;10749.0;12939.0;15174.0;15919.0;16262.0;16672.0;16539.0;16035.0;14302.0;13642.0;13454.0;13753.0;14806.0;Industriel;Définitif;300255.0
2022-06-30;NaTran;17834.0;17315.0;17659.0;17919.0;18006.0;17935.0;17621.0;17441.0;17430.0;17523.0;17857.0;17482.0;17714.0;17718.0;18071.0;18098.0;17759.0;17379.0;16920.0;16627.0;17199.0;17612.0;17629.0;17375.0;Industriel;Définitif;422123.0
2022-06-22;NaTran;15997.0;16778.0;16585.0;16472.0;17122.0;17169.0;17259.0;17418.0;17756.0;17749.0;17571.0;17400.0;17586.0;17944.0;18232.0;18024.0;17849.0;17301.0;16722.0;16869.0;16924.0;17014.0;16851.0;16586.0;Industriel;Définitif;413176.0
2022-06-02;NaTran;16952.0;16944.0;17069.0;16828.0;16799.0;14716.0;13744.0;13948.0;14077.0;14220.0;13920.0;14657.0;16908.0;17620.0;17663.0;17513.0;17545.0;17389.0;16355.0;16439.0;16785.0;17003.0;17050.0;17866.0;Industriel;Définitif;390010.0
2022-05-30;NaTran;16219.0;16753.0;17362.0;17105.0;17299.0;17165.0;17039.0;17163.0;17238.0;17493.0;17893.0;18006.0;18323.0;18127.0;18302.0;18466.0;18380.0;18292.0;16959.0;16529.0;16474.0;16784.0;16675.0;17412.0;Industriel;Définitif;417460.0
2022-05-28;NaTran;12246.0;12628.0;12756.0;12278.0;12234.0;12370.0;12396.0;12376.0;12280.0;12318.0;12196.0;11953.0;12173.0;12364.0;12633.0;12242.0;12169.0;12298.0;12202.0;11922.0;12202.0;12250.0;12209.0;11995.0;Industriel;Définitif;294690.0
2022-05-27;NaTran;12449.0;12587.0;12686.0;12354.0;12230.0;12363.0;12422.0;12388.0;12345.0;12303.0;12683.0;12826.0;12561.0;12808.0;12884.0;12769.0;12688.0;12728.0;12725.0;12882.0;12765.0;12588.0;12547.0;12356.0;Industriel;Définitif;301936.0
2022-05-04;NaTran;21707.0;21772.0;21534.0;21705.0;21184.0;20825.0;20270.0;20896.0;20809.0;20273.0;20499.0;20592.0;21149.0;21200.0;21565.0;21568.0;21041.0;20398.0;20212.0;20282.0;20687.0;20852.0;20676.0;20773.0;Industriel;Définitif;502470.0
2022-04-26;NaTran;22428.0;22513.0;22263.0;21402.0;20797.0;20043.0;20109.0;20554.0;20415.0;20467.0;20099.0;19983.0;20459.0;21621.0;21778.0;21770.0;21377.0;21174.0;21282.0;20674.0;21308.0;21552.0;21709.0;21816.0;Industriel;Définitif;507594.0
2022-04-20;NaTran;21739.0;22011.0;22162.0;22036.0;21416.0;18996.0;17829.0;18534.0;18266.0;18228.0;18723.0;20235.0;20893.0;21253.0;21361.0;21383.0;21250.0;21352.0;20443.0;19168.0;19075.0;19100.0;19205.0;19791.0;Industriel;Définitif;484447.0
2022-04-17;NaTran;11266.0;11209.0;11096.0;10915.0;10811.0;10604.0;10467.0;10377.0;10441.0;10542.0;10540.0;10904.0;11231.0;11649.0;11746.0;11827.0;12019.0;12079.0;12005.0;11756.0;11063.0;10771.0;10852.0;11017.0;Industriel;Définitif;267189.0
2022-04-16;NaTran;13066.0;13098.0;13243.0;13145.0;12881.0;11736.0;11223.0;11120.0;10604.0;10591.0;10523.0;10899.0;11263.0;11343.0;11513.0;11449.0;11564.0;11591.0;11399.0;10836.0;10915.0;10869.0;11076.0;11221.0;Industriel;Définitif;277167.0
2022-04-05;NaTran;25698.0;26312.0;26626.0;26114.0;25531.0;25175.0;24569.0;23747.0;23524.0;23531.0;22496.0;22482.0;23655.0;24158.0;24451.0;24104.0;22886.0;23785.0;22563.0;22190.0;22279.0;22373.0;22432.0;23252.0;Industriel;Définitif;573932.0
2022-04-03;NaTran;24218.0;24105.0;23831.0;23852.0;23403.0;22504.0;21125.0;20282.0;19923.0;19650.0;19739.0;22279.0;23680.0;24192.0;24914.0;25302.0;25496.0;25677.0;25709.0;25722.0;25777.0;25615.0;25837.0;26373.0;Industriel;Définitif;569207.0
2022-03-26;NaTran;18626.0;18496.0;18185.0;17848.0;17282.0;15946.0;14514.0;14439.0;14143.0;14064.0;15110.0;17281.0;19332.0;20433.0;20728.0;20847.0;20571.0;20122.0;20248.0;18850.0;1559.0;19676.0;18527.0;18417.0;Industriel;Définitif;415244.0
2022-03-22;NaTran;24409.0;25125.0;25370.0;23841.0;22673.0;21267.0;19663.0;19019.0;18601.0;18822.0;19402.0;22253.0;23660.0;24503.0;24358.0;24367.0;24306.0;23989.0;23334.0;23670.0;23828.0;23973.0;23924.0;24343.0;Industriel;Définitif;548701.0
2022-03-21;NaTran;24196.0;24947.0;24964.0;24452.0;22669.0;21772.0;21346.0;21943.0;22128.0;22809.0;23031.0;22975.0;23484.0;25569.0;24479.0;24132.0;24309.0;24008.0;22707.0;21790.0;21933.0;22025.0;22300.0;23017.0;Industriel;Définitif;556986.0
2022-03-16;NaTran;25790.0;26294.0;26388.0;25920.0;25407.0;25122.0;24820.0;24533.0;24265.0;24301.0;24496.0;24210.0;24486.0;25205.0;25320.0;24652.0;24347.0;24037.0;22179.0;20582.0;20387.0;20059.0;19788.0;21829.0;Industriel;Définitif;574418.0
